x,y
2B,Teachers
2B,2B
2B,Teachers
2A,2B
3A,3A
1A,3A
1A,3A
3A,4A
1A,3A
3A,3A
3A,4A
3A,5A
3A,3B
1A,3A
3A,3A
3A,5A
3A,3B
3A,3B
3A,3B
3A,Teachers
3A,4B
3A,3A
3A,3A
3A,3B
1B,3A
1B,3A
3A,5B
3A,5B
3A,5B
3A,3A
2B,3A
3A,3A
3A,3A
2B,3A
3A,4B
3A,5A
3A,3A
3A,5B
3A,5B
3A,3A
3A,4B
3A,3A
3A,3A
3A,3A
3A,5B
3A,4A
3A,4A
3A,4A
3A,3A
3A,4B
3A,3A
3A,5B
3A,3B
3A,4A
2B,3A
3A,3A
3A,5B
3A,4A
3A,4A
3A,5A
3A,4B
2A,3A
1B,3A
2A,3A
3A,5A
3A,3A
3A,5A
3A,5A
3A,Teachers
3A,5A
3A,5A
3A,3A
3A,4B
3A,4B
2B,3A
3A,4A
1B,3A
3A,5B
3A,5B
3A,3B
3A,5B
1A,3A
1B,3A
3A,3B
3A,3A
3A,4B
3A,4B
3A,3A
3A,3A
2A,3A
3A,3A
3A,3B
3A,5B
1B,3A
3A,3B
3A,3B
1A,3A
1B,3A
1A,3A
3A,3A
1B,3A
3A,3A
2A,3A
3A,3B
3A,3A
3A,3B
3A,3A
3A,4B
3A,3A
3A,3A
3A,3B
3A,3A
3A,3A
1A,3A
3A,3A
3A,3B
3A,4B
2A,3A
3A,3A
2A,3A
3A,3B
3A,3B
2A,3A
3A,3A
3A,3A
3A,3A
3A,3B
3A,3B
3A,3A
3A,3A
3A,3A
3A,3A
3A,3A
3A,Teachers
3A,3A
3A,Teachers
3A,3A
1A,3A
3A,3B
2A,3A
2A,3A
3A,3A
2A,3A
3A,3A
3A,3A
2B,3A
3A,4B
3A,3A
3A,3A
3A,4A
3A,3B
2A,3A
3A,3A
3A,3A
1A,3A
1B,3A
1B,3A
3A,5A
1A,3A
1A,3A
1B,3A
3A,3B
1B,3A
1B,3A
3A,3B
1A,3A
3A,3A
3A,3A
1A,3A
3A,3A
3A,3B
2A,3A
3A,3A
3A,3A
3A,5A
1B,3A
2A,3A
3A,3B
3A,5B
3A,3B
3A,3B
3A,4B
3A,3A
3A,3A
3A,3A
1A,3A
2B,3A
3A,3B
3A,4B
3A,3A
3A,3A
3A,3A
3A,4B
3A,3B
1B,3A
3A,3A
2B,3A
2B,3A
3A,Teachers
2A,3A
3A,5A
1A,3A
3A,Teachers
3A,3B
2A,3A
2A,3A
3A,3A
3A,3B
3A,3A
3A,3A
2B,3A
3A,3A
3A,4A
3A,Teachers
2A,3A
3A,3A
1B,3A
3A,3A
3A,5B
3A,3A
2B,3A
3A,3B
3A,3B
3A,4B
1A,3A
1B,3A
2B,3A
3A,3A
3A,3A
1B,3A
2B,3A
3A,3B
1B,3A
2A,3A
3A,3B
2A,3A
2B,3A
1B,3A
3A,Teachers
2A,3A
3A,3B
2A,3A
2B,3A
3A,3B
3A,3B
3A,3B
3A,3A
3A,5B
2B,3A
3A,Teachers
3A,3A
3A,4B
3A,3A
3A,3A
3A,3A
3A,3A
3A,3A
3A,4A
3A,Teachers
3A,3A
3A,3A
1A,3A
1A,3A
3A,3A
1A,3A
1B,3A
3A,3A
3A,3A
3A,3A
3A,4B
3A,3A
3A,3A
3A,3A
3A,3B
3A,3A
3A,4B
3A,3A
3A,3A
3A,3B
3A,3A
3A,3A
3A,3A
3A,3A
3A,3A
3A,3A
1A,3A
3A,Teachers
3A,3B
3A,Teachers
1B,3A
2A,3A
3A,3B
3A,3A
3A,3B
3A,3A
3A,4B
3A,3A
3A,3A
3A,3A
3A,3B
1B,3A
3A,4B
3A,3A
3A,3A
3A,4B
3A,Teachers
3A,3A
3A,3A
3A,3A
3A,3A
3A,3A
3A,3B
3A,3A
3A,3B
3A,3A
3A,Teachers
1A,3A
3A,3A
3A,4A
3A,Teachers
1B,3A
3A,5B
3A,3A
1A,3A
2B,3A
3A,3A
2B,3A
3A,3A
2B,3A
3A,4B
3A,5A
3A,5B
3A,5B
3A,3A
3A,4B
3A,3A
3A,3A
3A,4A
3A,3A
2A,3A
2A,3A
3A,4B
3A,3A
3A,3B
3A,3B
2B,3A
3A,3A
3A,5A
3A,4A
3A,3B
2A,3A
1B,3A
2A,3A
2A,3A
2A,3A
3A,3A
2B,3A
3A,Teachers
3A,3A
2B,3A
3A,3A
2A,3A
2B,3A
2A,3A
1A,3A
3A,3B
3A,3B
1B,3A
3A,3B
2B,3A
3A,3A
1A,3A
3A,4B
3A,3A
3A,3A
3A,3B
3A,3B
1B,3A
3A,3B
1A,3A
1A,3A
2A,3A
2B,3A
3A,4A
3A,3A
3A,3A
3A,3A
2A,3A
3A,5B
2A,3A
3A,3A
3A,3B
2B,3A
2B,3A
3A,3B
2A,3A
3A,3A
1A,3A
3A,5B
3A,3B
3A,5B
3A,3A
1A,3A
2B,3A
3A,3B
1B,3A
2B,3A
3A,3A
2A,3A
3A,3A
1B,3A
2A,3A
3A,5B
3A,3B
3A,3A
3A,3A
3A,3A
3A,3A
3A,5A
3A,3B
3A,3B
3A,3B
1A,3A
2B,3A
3A,3A
2A,3A
3A,3A
3A,3A
3A,4B
3A,3B
3A,3A
3A,3B
3A,3B
3A,3B
3A,3B
3A,3A
3A,3A
3A,4B
3A,3B
3A,4B
3A,3A
3A,3A
3A,3A
3A,3A
3A,3A
3A,3A
3A,3A
3A,4B
3A,3A
3A,Teachers
3A,3B
1A,3A
3A,3B
3A,4A
3A,4B
1A,3A
1A,3A
3A,3A
3A,5B
3A,5B
3A,3A
3A,3A
3A,3A
3A,3A
3A,4A
3A,4A
3A,4A
3A,3A
3A,3A
3A,5B
3A,5B
3A,3B
2B,3A
3A,3B
3A,3A
3A,5B
2B,3A
2A,3A
3A,3A
3A,Teachers
3A,5A
3A,5A
3A,3A
3A,4B
2B,3A
3A,4B
3A,3B
3A,5B
3A,3B
3A,3B
3A,4B
3A,4B
3A,4B
3A,3A
3A,3A
3A,3B
3A,5A
3A,3A
3A,5A
1A,3A
1A,3A
3A,3A
3A,3B
3A,3A
2A,3A
3A,3A
3A,3A
2A,3A
3A,3B
3A,3A
3A,4B
3A,5A
1A,3A
3A,5A
3A,3B
3A,3A
3A,3B
3A,3A
3A,4B
1B,3A
3A,Teachers
2A,3A
3A,4B
3A,3A
3A,3A
3A,3A
3A,3A
3A,5A
3A,3A
3A,5A
1A,3A
1A,3A
3A,4A
2A,3A
3A,4A
3A,3A
3A,3A
2A,3A
2B,3A
3A,Teachers
2A,3A
2B,3A
3A,4B
3A,3A
1A,3A
1A,3A
3A,3B
1A,3A
3A,3B
3A,5A
1B,3A
2B,3A
1B,3A
2A,3A
3A,3A
1B,3A
3A,3A
3A,3B
3A,3A
3A,4B
3A,3A
2A,3A
3A,3A
3A,4A
3A,3B
3A,3A
1A,3A
3A,5A
3A,3B
2A,3A
3A,4B
2A,3A
2A,3A
3A,3A
2B,3A
3A,5B
3A,3B
3A,3A
3A,5B
3A,3A
3A,3A
3A,3B
3A,3A
2A,3A
3A,3A
3A,3B
2A,3A
3A,3A
3A,3A
3A,3A
2A,3A
3A,Teachers
3A,3B
1A,3A
2B,3A
2A,3A
2B,3A
3A,3A
2B,3A
2B,3A
3A,4B
2B,3A
3A,3A
1A,3A
3A,3B
3A,3B
1A,3A
3A,3A
3A,3A
1A,3A
2A,3A
3A,3A
2A,3A
3A,3B
2A,3A
2A,3A
3A,3A
2A,3A
3A,3A
3A,3A
3A,Teachers
1A,3A
1A,3A
1B,3A
2A,3A
2A,3A
2A,3A
2A,3A
3A,3A
3A,4B
2A,3A
3A,Teachers
2B,3A
1A,3A
3A,3A
1A,3A
1A,3A
3A,3B
3A,3A
3A,3A
3A,3B
1B,3A
2B,3A
2A,3A
3A,3A
3A,4B
3A,5A
3A,Teachers
2A,3A
3A,4B
3A,3A
3A,3A
1B,3A
1A,3A
3A,3A
1A,3A
2B,3A
3A,3A
2A,3A
3A,3A
3A,3B
3A,3B
3A,3A
3A,3B
3A,3A
1A,3A
3A,3A
1A,3A
3A,3A
3A,5A
3A,Teachers
3A,3B
3A,3B
3A,3A
3A,3A
3A,3A
2A,3A
3A,3A
3A,3A
3A,3A
3A,Teachers
3A,3B
2A,3A
3A,3A
3A,3A
3A,4B
3A,3B
3A,3B
3A,3B
3A,3A
3A,3A
3A,3B
3A,3A
3A,Teachers
3A,5A
2A,3A
3A,4B
3A,4B
3A,3B
2A,3A
3A,3A
1A,3A
3A,3A
3A,3A
3A,3A
1A,3A
3A,3A
3A,3B
3A,3A
1A,3A
1A,3A
3A,3B
3A,3A
3A,3B
3A,3B
3A,5A
3A,3A
2A,3A
3A,3B
3A,3A
3A,Teachers
1B,3A
3A,3B
3B,4B
1A,3B
3B,3B
3B,5A
3B,5A
3B,3B
3B,3B
3B,3B
2B,3B
3B,4A
3B,3B
3B,3B
3A,3B
3A,3B
1B,3B
3B,Teachers
1B,3B
3B,5B
3B,5B
3B,5B
3B,5B
3B,3B
3A,3B
2B,3B
3B,4B
3B,5A
3B,5A
3B,5B
3B,5B
3A,3B
3B,3B
3B,4B
3A,3B
3B,5B
3B,3B
3B,4A
3B,4A
1B,3B
3A,3B
2A,3B
3B,4B
3A,3B
3B,5B
3B,5B
3B,5B
3B,3B
3B,5B
3B,5A
3B,4A
3B,4A
3B,5A
2A,3B
3B,3B
3B,4B
2A,3B
3B,5A
3A,3B
2B,3B
3B,5A
3B,Teachers
2B,3B
1A,3B
2B,3B
3B,4A
3B,5B
3B,5B
1A,3B
1A,3B
3B,3B
3B,3B
3B,5A
3B,3B
2B,3B
3A,3B
3B,4B
3B,4B
3B,5A
3B,4B
3A,3B
3A,3B
3B,3B
3B,5B
3B,3B
3B,5A
3B,3B
3B,3B
1A,3B
3B,3B
1B,3B
3A,3B
3B,4B
3B,5A
3B,3B
3B,3B
3B,3B
3B,4A
3B,3B
2B,3B
3B,4A
3B,4B
3A,3B
3B,Teachers
1B,3B
1B,3B
3B,3B
1B,3B
3B,5B
3B,3B
1A,3B
2B,3B
3A,3B
3B,4B
3B,5A
3B,5A
3A,3B
1B,3B
3B,5B
3B,5B
3B,3B
3A,3B
3A,3B
3B,5B
3B,3B
3B,4A
3B,4B
3B,5B
3B,5B
3B,3B
3B,3B
3B,5A
3B,4A
2B,3B
3B,3B
3B,4B
2A,3B
1B,3B
2A,3B
2A,3B
2A,3B
3B,4A
3B,5A
3B,Teachers
2B,3B
3B,4B
3B,4A
3B,4B
3B,4B
1B,3B
3B,3B
3B,5B
3B,3B
2B,3B
3A,3B
3B,4B
1A,3B
3B,4B
3B,4B
3B,3B
3B,5B
3B,3B
1B,3B
3B,3B
3B,3B
1A,3B
3B,3B
3B,3B
3A,3B
3A,3B
3A,3B
3A,3B
2B,3B
3B,4B
3B,3B
3B,3B
3B,3B
2A,3B
3B,5A
3B,3B
3B,4B
3A,3B
2A,3B
3B,3B
3B,Teachers
3A,3B
2A,3B
3A,3B
3B,3B
3B,4B
3B,3B
3A,3B
3B,3B
3B,3B
3B,4B
3A,3B
3A,3B
3A,3B
3B,3B
3B,3B
3B,3B
3B,3B
3B,3B
3B,Teachers
3B,5A
3B,5A
3B,3B
3B,3B
3A,3B
3B,4A
3B,4B
3B,5A
3B,3B
3B,3B
2B,3B
3B,3B
3A,3B
3B,Teachers
3B,5B
3B,5B
3B,5B
3B,5B
3B,5B
3B,3B
1A,3B
2B,3B
3B,4B
3B,5A
3B,4A
3B,4B
3B,5B
3B,5B
3B,3B
3A,3B
3A,3B
3B,5B
3B,3B
3B,4A
3B,4A
3B,4A
2B,3B
2B,3B
3A,3B
3B,5B
3B,5B
3B,4A
3B,3B
3B,3B
3B,4A
3B,4A
3B,5A
3B,5A
3B,3B
3B,4B
1B,3B
2A,3B
2A,3B
3B,5A
3A,3B
3B,Teachers
3B,Teachers
3B,5A
3B,5A
3B,4B
3B,4B
3B,4A
2A,3B
1B,3B
3B,5B
3B,3B
3B,5B
3B,3B
3B,3B
3A,3B
3B,4B
1A,3B
3B,4B
3A,3B
3B,3B
3B,5B
3B,3B
1B,3B
3B,3B
3B,3B
1A,3B
3B,3B
3A,3B
3B,4B
3B,4B
2B,3B
3B,3B
2B,3B
3B,3B
3A,3B
3B,Teachers
1B,3B
1B,3B
3B,5B
3B,5B
3B,5B
3B,5B
3B,3B
3A,3B
3B,4B
3B,Teachers
3B,5A
3B,5A
3B,5B
3B,5B
3B,5B
3B,3B
3B,5A
3A,3B
3A,3B
3A,3B
3B,3B
3B,4A
3B,5B
3A,3B
3B,5B
3B,5B
3B,4A
3B,3B
3B,3B
3B,5B
3B,5A
3B,5A
2A,3B
3A,3B
2B,3B
3B,5A
3B,5A
3B,Teachers
3B,5A
3B,4B
3B,3B
3B,5B
3B,3B
1A,3B
1B,3B
3B,3B
3A,3B
3A,3B
3B,4B
2B,3B
3B,4B
3B,3B
3A,3B
3A,3B
3B,3B
3B,3B
1B,3B
3B,3B
3B,3B
1A,3B
3B,5A
3B,3B
2A,3B
3B,5B
3A,3B
3A,3B
3B,4B
3B,4B
3B,3B
3A,3B
3B,3B
3B,3B
3B,3B
2A,3B
3A,3B
3B,3B
3B,3B
1A,3B
3B,5A
3B,3B
3A,3B
3B,Teachers
2A,3B
3B,3B
3A,3B
3B,5B
3B,Teachers
3A,3B
3B,Teachers
3A,3B
3A,3B
3B,3B
3B,3B
3B,3B
3B,3B
3B,Teachers
3B,3B
2A,3B
1A,3B
3B,3B
2A,3B
3B,5B
3A,3B
3A,3B
2A,3B
3B,5B
3B,5B
2B,3B
3B,4B
3B,4B
3B,3B
3B,4A
3B,5B
2A,3B
3B,4A
3B,3B
3B,3B
3B,4B
3B,4A
3B,5A
3B,5A
3B,3B
3B,3B
3B,3B
3B,3B
3A,3B
3B,5A
3B,4A
3B,3B
3B,4B
3B,4B
2A,3B
1B,3B
3A,3B
3B,5B
3B,5B
3A,3B
3B,Teachers
3A,3B
3B,4B
3A,3B
3A,3B
3A,3B
2A,3B
3B,3B
3B,3B
3B,3B
3B,4A
3B,3B
3A,3B
1B,3B
3B,3B
1A,3B
3B,3B
2A,3B
3B,5B
3B,3B
3B,5A
2A,3B
3B,5B
2B,3B
3A,3B
3B,4B
3B,5B
3B,5B
2A,3B
2A,3B
3B,4B
3B,4B
3B,4B
1B,3B
3B,3B
3A,3B
3B,3B
2B,3B
3B,3B
2B,3B
3B,5A
3B,4A
3B,5A
3B,5A
3A,3B
1A,3B
3A,3B
3B,3B
3B,5B
3B,5A
3B,5A
3B,3B
3B,3B
3B,5A
3B,4A
1A,3B
2A,3B
3B,3B
1B,3B
2B,3B
3B,4B
3A,3B
3B,4B
3B,3B
2A,3B
3B,5B
3B,5B
2A,3B
3A,3B
3B,5B
3A,3B
3B,5B
3A,3B
3B,4A
3B,Teachers
3B,3B
3A,3B
3B,3B
3A,3B
3B,4A
1B,3B
3B,4B
2A,3B
3B,4B
3A,3B
3B,4B
3B,3B
3B,3B
3B,3B
2A,3B
3A,3B
3B,5B
3B,3B
3B,3B
3B,3B
3B,3B
3A,3B
3B,5B
3B,3B
3B,5B
3A,3B
3A,3B
3A,3B
3B,3B
3B,5A
3B,3B
3A,3B
3B,Teachers
1A,3B
1A,3B
3A,3B
3B,3B
3B,3B
3B,5B
3B,5A
3B,3B
3A,3B
3B,4B
3B,4B
3B,3B
2A,3B
3B,3B
3A,3B
3A,3B
3B,3B
3B,3B
3B,3B
3A,3B
3B,3B
3B,4B
2A,3B
3B,4B
3B,4B
1B,3B
2A,3B
1A,3B
3B,5A
3A,3B
3B,3B
3B,Teachers
1A,3B
1A,3B
3B,3B
3B,3B
3B,3B
3A,3B
3B,5B
3B,3B
1A,3B
3B,3B
3B,5A
3B,4B
3B,Teachers
3B,3B
3B,5A
3B,3B
3B,3B
3B,3B
3B,3B
3B,3B
3B,3B
3A,3B
2A,3B
3A,3B
3B,3B
3B,3B
3B,5A
3B,3B
3B,3B
3B,3B
3B,5A
3B,3B
3B,3B
2A,3B
2A,3B
3A,3B
3A,3B
3B,3B
3B,Teachers
3B,5A
3B,3B
3B,4B
3B,3B
3B,4B
3B,3B
3B,3B
3B,3B
3B,4B
3A,3B
2A,3B
3A,3B
3B,4B
3B,3B
3B,3B
3B,3B
3B,4B
3B,4B
2A,3B
3A,3B
3B,3B
3B,3B
3B,3B
3B,3B
3B,3B
3B,4B
2A,3B
3A,3B
2A,3B
3A,3B
3B,4B
3B,3B
3B,Teachers
3B,3B
3B,4B
2A,3B
1B,3B
3B,5A
3B,5B
1A,3B
3B,3B
3B,3B
3B,3B
3B,4A
3B,5A
2B,3B
3A,3B
3B,4B
1B,3B
3B,4B
3B,4B
3B,4B
3B,5B
1B,3B
3B,5B
3B,4A
3B,5A
3B,4B
3B,3B
1A,3B
3B,3B
3B,5B
2A,3B
3B,3B
3B,3B
3B,5A
3B,3B
3A,3B
1B,3B
3B,3B
3A,3B
3A,3B
3B,3B
3B,3B
1A,3B
3B,3B
3B,3B
3A,3B
3B,4B
3A,3B
1B,3B
3A,3B
1A,3B
3B,3B
3B,3B
3A,3B
3B,5A
3B,3B
1B,3B
2B,3B
3B,4B
3A,3B
3B,5B
3A,3B
1A,3B
1B,3B
3B,3B
3B,3B
3B,5A
3B,3B
4A,4A
4A,5B
4A,5B
2B,4A
2B,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
2B,4A
4A,4A
4A,4A
4A,5A
4A,4A
4A,4A
4A,5A
4A,5B
4A,Teachers
4A,5A
4A,4A
4A,4A
2B,4A
4A,5B
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,Teachers
4A,4A
4A,4A
4A,4A
4A,5A
4A,4A
4A,4A
2B,4A
4A,4A
4A,4A
2B,4A
1B,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,5B
4A,5B
2B,4A
4A,5B
4A,4A
4A,4A
4A,4A
1B,4A
4A,5A
4A,4A
4A,Teachers
4A,4A
4A,4A
2B,4A
1B,4A
2B,4A
4A,4A
4A,4A
4A,5B
4A,4A
4A,5B
4A,5B
4A,4A
4A,4A
4A,Teachers
4A,5A
4A,5A
4A,4A
1B,4A
4A,4A
1B,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
2A,4A
1B,4A
4A,4A
4A,4A
4A,4A
1A,4A
1B,4A
4A,4A
1B,4A
3B,4A
3B,4A
3A,4A
4A,4A
4A,Teachers
4A,5A
1B,4A
4A,4A
4A,4A
3B,4A
4A,5B
3B,4A
4A,4B
2B,4A
3B,4A
4A,4B
4A,5B
3B,4A
4A,5B
4A,4A
4A,4A
2B,4A
3A,4A
1A,4A
4A,4A
4A,4A
4A,4A
4A,5B
4A,5B
3B,4A
4A,5B
4A,4B
4A,4A
4A,4A
4A,4A
4A,4A
4A,5B
4A,4A
4A,5A
4A,4A
4A,4A
4A,4A
3B,4A
4A,Teachers
4A,4A
1B,4A
4A,5A
3A,4A
4A,4B
4A,5A
4A,4A
4A,4B
4A,5B
4A,4A
4A,5B
2B,4A
2A,4A
4A,4B
4A,5B
3B,4A
4A,4A
4A,4A
2B,4A
3B,4A
4A,4A
4A,5A
4A,4A
1B,4A
4A,Teachers
4A,5B
4A,4A
4A,4A
1A,4A
4A,4A
4A,4A
4A,5B
4A,4A
4A,5A
4A,4A
4A,4A
4A,5A
4A,4A
4A,4A
3B,4A
2B,4A
2B,4A
4A,4B
4A,4B
4A,4A
2A,4A
4A,5B
4A,4B
3B,4A
2A,4A
4A,4B
4A,5B
3B,4A
3A,4A
4A,4A
4A,4A
4A,4A
4A,5B
3B,4A
4A,Teachers
1A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
2B,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,Teachers
4A,4A
4A,5B
4A,4A
4A,4A
4A,4A
4A,4A
1B,4A
4A,5B
4A,4A
4A,4A
4A,4A
4A,5B
4A,4A
4A,4A
4A,4A
4A,5A
4A,4A
4A,Teachers
4A,4A
4A,5B
1B,4A
4A,5B
4A,5A
4A,5B
4A,5B
4A,4A
1B,4A
4A,4A
4A,4A
4A,5A
4A,5B
4A,5A
1B,4A
4A,4A
4A,5A
4A,4A
4A,5B
3B,4A
4A,4B
4A,5B
4A,4A
4A,4A
4A,5B
4A,4A
4A,4A
4A,5A
4A,4A
4A,4A
2A,4A
4A,4A
4A,5B
4A,5B
4A,4A
4A,5A
1B,4A
4A,4B
4A,5A
4A,5B
1A,4A
4A,5B
4A,5B
4A,4B
3A,4A
4A,5B
4A,4A
4A,4A
4A,5B
4A,5A
4A,4A
4A,5A
4A,5B
4A,4A
4A,5B
2B,4A
4A,4A
4A,4B
2B,4A
4A,4A
1B,4A
4A,4A
4A,5B
2B,4A
4A,4A
4A,5B
4A,4A
4A,5B
4A,4A
4A,5B
4A,4A
4A,4A
4A,5A
4A,4A
2B,4A
2B,4A
4A,4B
4A,5A
4A,4B
1B,4A
4A,5A
4A,4B
2B,4A
2A,4A
4A,5B
4A,5B
4A,4A
4A,5A
1A,4A
4A,5A
1A,4A
4A,5A
4A,5A
4A,5B
1A,4A
4A,4B
4A,4A
4A,4B
4A,4A
4A,5B
4A,4A
4A,5A
4A,4A
1A,4A
2A,4A
4A,5A
3B,4A
4A,4A
4A,5A
4A,4A
4A,5B
2B,4A
2B,4A
4A,4B
4A,4B
4A,5A
4A,4B
2A,4A
4A,5B
4A,5A
4A,4A
4A,4A
3A,4A
4A,4A
4A,5A
4A,4A
1B,4A
4A,4B
4A,4B
4A,4B
2B,4A
4A,4A
4A,4A
1B,4A
4A,4A
4A,5B
4A,5B
4A,4A
1B,4A
1A,4A
4A,4A
3B,4A
3A,4A
4A,4A
2B,4A
4A,4A
4A,5A
4A,4B
4A,5A
2A,4A
4A,5B
4A,5A
3B,4A
4A,4A
4A,4A
4A,4B
4A,4B
4A,4A
4A,4A
4A,4A
4A,5B
4A,4A
4A,5B
4A,4A
3B,4A
4A,4A
4A,4A
4A,4B
4A,4B
3A,4A
4A,5A
1A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4A
4A,4B
4A,4B
4A,4B
4A,4A
4A,4A
4A,4A
4A,5A
4A,5B
4A,4A
3B,4A
4A,4A
4A,5A
4A,5A
2A,4A
4A,Teachers
1A,4A
1B,4A
4A,5B
4A,5A
3A,4A
4A,Teachers
1A,4A
4A,5A
4A,4A
4A,5B
4A,5A
2B,4A
4A,4B
4A,4A
4A,4A
1A,4A
4A,5B
4A,5A
4A,4A
4A,4A
4A,5B
4A,4B
2A,4A
1A,4A
4A,5B
4A,4B
4A,5A
3B,4A
1A,4A
4A,5A
4A,5A
4A,5A
4A,4A
4A,4A
4A,4A
4A,5B
4A,5B
4A,4A
4A,5A
4A,5B
4A,5B
4A,5A
4A,5A
4A,4A
4A,5B
4A,4A
1B,4A
4A,4B
4A,4B
4A,4B
4A,4A
4A,5B
4A,4A
3B,4A
3A,4A
1B,4A
4A,4A
4A,4B
4A,4B
2B,4A
3A,4A
1B,4A
4B,4B
4B,4B
4B,5A
4B,4B
4B,4B
4B,4B
3A,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,Teachers
4B,5A
1A,4B
1A,4B
3B,4B
4B,4B
4B,4B
2A,4B
4B,4B
4B,4B
4B,4B
4B,4B
3B,4B
4B,4B
4B,4B
4B,4B
4B,4B
1A,4B
4B,5A
1A,4B
3B,4B
4B,4B
4B,5B
4B,4B
4B,5B
4B,4B
4B,4B
4A,4B
4B,4B
4B,4B
4B,4B
2B,4B
4B,4B
4B,4B
4B,4B
4A,4B
4B,5A
4B,Teachers
1A,4B
4B,Teachers
4B,5B
1A,4B
4B,5A
3B,4B
3A,4B
4B,4B
4B,4B
3A,4B
4B,4B
4B,4B
4B,5B
4B,5B
4B,4B
4B,4B
2A,4B
4B,4B
4B,4B
3A,4B
3A,4B
3A,4B
3B,4B
4B,5B
4A,4B
4A,4B
4B,5B
1B,4B
3A,4B
4A,4B
2A,4B
4B,4B
4B,4B
4B,4B
2A,4B
3B,4B
3A,4B
4B,4B
4B,5B
2A,4B
4B,4B
4A,4B
4B,4B
4B,4B
4B,5B
4B,4B
4B,4B
4B,5B
4A,4B
4B,5B
4B,Teachers
3B,4B
4B,5B
4B,Teachers
1A,4B
4B,5A
3A,4B
4B,5A
4A,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,5B
4B,5B
4B,4B
4B,4B
2A,4B
4B,5A
3A,4B
1A,4B
4B,5B
4A,4B
4A,4B
4B,4B
1A,4B
3A,4B
4A,4B
4B,4B
3B,4B
4B,4B
1A,4B
4B,4B
2A,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,5B
2A,4B
2A,4B
4B,4B
4B,4B
1A,4B
3B,4B
3A,4B
4B,4B
4B,4B
4B,4B
2A,4B
3A,4B
2A,4B
4B,4B
4B,4B
4B,5B
4B,4B
4B,4B
4B,5B
4B,5A
3B,4B
3B,4B
4B,5A
1A,4B
3B,4B
2A,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,5B
1A,4B
4B,4B
3B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
3A,4B
3B,4B
4B,5A
4B,5A
4B,5A
1A,4B
3B,4B
4B,4B
4B,4B
4B,4B
4B,4B
2B,4B
4B,4B
4A,4B
4B,4B
4B,4B
4A,4B
4A,4B
4B,5A
4A,4B
4B,4B
4B,4B
2B,4B
4B,4B
2A,4B
4B,4B
4B,4B
4B,4B
4B,4B
3A,4B
4B,5B
4A,4B
4B,5A
4A,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
1A,4B
3B,4B
1A,4B
4B,4B
4B,4B
3A,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
2A,4B
4B,4B
2A,4B
4B,4B
2A,4B
1A,4B
3A,4B
4B,5A
4B,5B
3A,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
3A,4B
4B,4B
3A,4B
1A,4B
4B,5A
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
3B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
2A,4B
4B,4B
4B,5A
4B,4B
4B,4B
4B,4B
4B,4B
2B,4B
4B,4B
4A,4B
4B,4B
3B,4B
4B,4B
4A,4B
3A,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,5B
4A,4B
3A,4B
1A,4B
3B,4B
4B,4B
4B,Teachers
4B,4B
3B,4B
4B,5B
4B,5A
4B,4B
4A,4B
4B,4B
4B,4B
4B,4B
4B,4B
3A,4B
4B,4B
4B,5B
4B,4B
4B,4B
4B,Teachers
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,5B
4B,5A
4B,4B
4B,4B
2A,4B
4B,4B
4B,4B
4B,4B
4B,4B
1A,4B
4B,4B
4B,4B
4B,4B
4B,5A
1A,4B
1A,4B
1A,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
3B,4B
4B,4B
4B,5B
3B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,4B
4B,5B
3A,4B
1A,4B
4B,4B
2A,4B
4B,4B
4B,4B
4B,4B
3A,4B
2A,4B
4B,4B
4B,4B
4B,4B
